	Acetophenone	1-Butanol, 3-methyl-	Butanoic acid, 2-methyl-	n-Hexadecanoic acid	Benzeneacetic acid	Pentanoic acid	1-Undecanol	1-Tridecene	2-Pyrrolidinone, 1-methyl-	Propane, 2-methoxy-2-methyl-	Phenylethyl Alcohol	Dodecanoic acid	Tridecanoic acid	Benzaldehyde, 2-hydroxy-	Benzofuran, 2,3-dihydro-	Hexadecanoic acid, ethyl ester	Octadecane	Benzene, 1-methyl-3-(1-methylethyl)-	Phenol, 2-methoxy-	1-Hexanol, 2-ethyl-	Hydrazine, 1,2-dimethyl-	Heptadecane	Menthol	Nonanoic acid	Heptanoic acid	Dodecanoic acid, methyl ester	Butanoic acid, 3-methyl-, butyl ester	Propanoic acid	Propanoic acid, 2-methyl-	Phenol, m-tert-butyl-	Dimethyl sulfone	Cyclopentane	Phenol, 2,4-bis(1,1-dimethylethyl)-	Acetic acid	n-Decanoic acid	1-Dodecanol	Phenol, 3-methyl-5-(1-methylethyl)-, methylcarbamate	Dimethyl Sulfoxide	2(3H)-Furanone, 5-hexyldihydro-	Phenol, 4-methyl-	Benzenepropanoic acid	Pentadecane	Pentadecane, 2,6,10,14-tetramethyl-	Tetradecanoic acid, ethyl ester	Ethanone, 1-(3-aminophenyl)-	2-Furanmethanol	Butanoic acid	Acetamide	Benzaldehyde	Formamide, N,N-dimethyl-	Octanoic Acid	Octadecanoic acid	1-Tetradecanol	Toluene	Phenol	Hexanoic acid	Furfural	Tetradecanoic acid	Propofol	Benzyl Alcohol	Benzoic Acid	Indole	Phenol, 4-chloro-3-methyl-	1-Hexadecanol	Hydrazine, methyl-	Tridecane	1H-Indole, 3-methyl-	Cyclohexanone	Acetic anhydride	Formic acid	Vanillin	Undecane	1-Propanone, 1-phenyl-	1H-Indene, 2,3-dihydro-5-methyl-	2-Cyclohexen-1-one, 2-methyl-5-(1-methylethenyl)-, (S)-	Phenol, 2-ethyl-	Hexadecane	Phenol, 4-ethyl-	Butanoic acid, 3-methyl-	2-Propenoic acid, 2-methyl-	Tetradecane
49	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
50	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
51	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
52	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
53	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
54	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
55	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
56	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
57	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
58	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
59	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
60	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
61	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
62	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
63	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
64	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
65	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
66	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
67	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
68	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
69	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
70	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
71	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
72	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
73	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
74	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
75	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
76	0	0	0.079965	0.059187	0.007532	0.069773	0.001137	0.003537	0	0	0.000366	0.079522	0	5.56E-05	0	0	0.002373	0	0	0	0	0	0	0.001945	0.000526	0	0	0.059061	0.062415	0	0	0	0.001366	0.15015	0.001924	0	0	0	0	0.08404	0.000609	0	0	0	4.95E-05	0	0.160493	0	0.006697	0	0.000409	0	0	0	0	0.002518	0	0.029522	0	0	0.000117	0.00789	0	0.009856	0	0	0.002878	0	0	0	0	0	0	0	0	0	0	0	0.114089	0	0
77	0	0	0.026843	0.08635	0.004111	0.014116	0	0	0	0	9.95E-05	0.027615	0	0	0	0	0	0	0	0	0	0	0	0.000151	0.000127	0	0	0.0973	0.017352	0	0	0	0	0.296101	0.008219	0	0	0	0	0.001428	0	0	0	0	0	0	0.3241	6.30E-05	0.000387	0	0.004934	0.005548	0	0	0	0.000879	0.002268	0.038264	0	0	0	0.00669	0	0	0	0	0	0	7.18E-05	0.000883	0	0	0	0	0	0	0	0	0.036098	0	0
78	0	0	0.050846	0.146262	0.005469	0.04818	0.001712	0	0	0	0	0.02671	0	0	0	0	0	0	0	0	0	0.001068	0	0.007184	0.008287	0	0	0.080592	0.048676	0	0	0	0.002033	0.306163	0.00729	0	0	0	0	0.04514	0.001399	0	0	0	0	0	0.054987	0	0.00334	0	0.004263	0.008101	0	0	0	0.017314	0.000407	0.033256	0	0	0.000488	0.001233	0	0.000797	0	0.000631	0.010289	0	0	0.000268	0	0	0	0	0	0.000244	0.002294	0	0.075076	0	0
79	0	0	0.080916	0.00316	0.000261	0.020287	0.000484	0	0	0	5.99E-05	0.000647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112082	0.096451	0	0	0	0.000101	0.201398	0	0	0	0	0	0.001688	0.001177	0	0	0	0	0	0.442732	1.95E-05	0	0	0	0	0	0	0.004209	0.000503	0	0	0	7.49E-05	0	0.003726	0	0.00014	0	0	0	0	0	0.00016	0	0	0	0	0	0	0	0	0.029724	0	0
80	0	0	0.03318	0.039976	0.006037	0.092783	0.000598	0.006996	0	0	0	0.007024	0	0	0	0	0	0	0	0	0	0	0	0	0.030524	0	0	0.082586	0.038206	0	0	0	0	0.206844	0.00082	0	0	0	0	0.023158	0	0	0	0	0	0	0.237253	0	0.000707	0	0.005816	0	0	0	0.002652	0.097444	0	0.013772	0	0	0	0.002982	0	0.008552	0	0	0	0	0	0.000865	0	0	0	0	0	0	0	0	0.061227	0	0
81	0	0	0.113574	0.000784	0.000937	0.092179	0	0	0	0	7.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000443	0	0	0.156061	0.089323	0	0	0	0.000452	0.167746	0	0	0	0	0	0.04889	0	0	0.001014	0	4.00E-05	0	0.179527	0	0.002174	0	0.000138	0	0	0	0.00194	0.003492	0.000247	0	0	0	5.48E-05	0.005883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135024	0	0
82	0	0	0	0.002122	0.00025	0.031697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000565	0	0	0	0.217184	0.013678	0	0	0	0.000357	0.181973	0	0	0	0	0	0	0.000582	0	0	0	0	0	0.519812	0	0.0004	0	0	0	0	0	0	0.001058	0	0	0	0	0.000158	0.004643	0	0.001562	0	0	0	0	0	0.000178	0	0	0	0	0.003003	0	0.000364	0	0.020411	0	0
83	0	0	0.162569	0.003052	0.000226	0.018756	0	0	0	0	7.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344	0	0	0.098474	0.178377	0	0	0	0.000196	0.243905	0	0	0	0	0	0.00271	0.000259	0	0	0	0	0	0.201819	0	0.000204	9.21E-05	0.000466	0	0	0	0.01227	0.002142	0	0	0.00054	0	9.35E-05	0.006535	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0	0.066595	8.23E-05	0
84	0	0	0.032392	0.067365	0.00415	0.030667	0.001813	0.01752	0	0	0	0.004076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107995	0.077745	0	0	0	0.000368	0.233236	0	0.002356	0	0	0	0.07137	0	0	0	0	0	0	0.195942	0	0.002042	0.000785	0	0	0	0	0	0.002501	0	0.006866	0	0	0	0.005223	0	0.031878	0.002683	0	0	0	0	0.002085	0	0	0	0	0	0	0	0	0.098941	0	0
85	0	0	0.032934	0.173723	0.009584	0.056608	0.001347	0	0	0	0.000333	0.054902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084508	0.030129	0	0	0	0	0.147135	0.005423	0	0	0	0.001735	0.049726	0.000545	0	0	0	0	0	0.173951	0	0	0	0	0.001015	0	0	0.011837	0.002517	0	0.08724	0	0	0.000131	0.018789	0	0.001943	0	0	0	0	0	0.00091	0	0	0	0	0	0.002251	0	0	0.050786	0	0
86	0	0	0.089765	0.005682	0.001597	0.007139	0	0	0	0	0.000223	0.004345	0	0	0	0	0	0	0	0	0.095388	0	0	0.002469	0	0	0	0.054633	0.07374	0	0	0	0	0.163235	0.000939	0	0	0	0	0.000637	0	0	0	0	0	0	0.384961	0	0	0	0	0	0	0	0.003037	0.000824	0	0.005994	0	0	0	0.001367	0	0	0	0	0	0	0	0.000621	0	0	0	0	0	0	0	0	0.103404	0	0
87	0	0	0.095287	0	0	0.077321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001678	0	0	0	0.131014	0.087526	0	0	0	0.005326	0.175667	0	0	0	0	0	0.051458	0	0	0	0	0	0	0.183194	0.001061	0.003959	0	0	0	0	0	0	0.009535	0.007794	0	0	0	0	0.00386	0	0.016802	0	0.00703	0	0	0	0.004465	0	0	0	0	0	0	0.002731	0	0.134296	0	0
88	0	0	0.024907	0.064394	0.005624	0.038935	0	0.004812	0	0	0	0.002812	0	0	0	0	0.007426	0	0	0.002098	0	0	0	0.001639	0	0	0	0.0884	0.022285	0	1.40E-05	0	0	0.375124	0	0	0	0	0	0.009152	0.010351	0	0	0	0	0.00594	0.172703	0	0.000397	0	0	0	0	0	0	0.037895	0	0.004303	0	0	0.00234	0.005185	0	0.069282	0	0.001223	0	0	0	0	0	0	0	0	0	0	0.006812	0	0.03595	0	0
89	0	0	0.047868	0.01725	0.010195	0.081384	0	0	0.001174	0	4.87E-05	0.06359	0	0	0	0	0	0	0	0	0	0	0	0	0.007131	0	0	0.074087	0.065817	0	0	0	0	0.196306	0.002287	0	0	0	0	0.047446	0.000825	0	0	0	0	0	0.192312	0.000289	0	3.24E-05	0.003203	0.000374	0	0	0	0.02931	0.00017	0.011395	0	0	6.11E-05	0.004501	8.93E-05	0.023516	0	0	0.009602	0	0	0	4.38E-05	0	0	0	0	0	0	0	0.109692	0	0
90	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
91	0	0	0.096592	0.051901	0.004403	0.100022	0.000188	0	0	0	0	0.001761	0	0	0	0	0	0	0	0	0	0	0	0.001228	0	0	0	0.072729	0.077206	0	0	2.73E-05	0.000832	0.189418	0	0	0	0	0	0.003781	0.002478	0	0	0	0	0	0.117598	0	0	0.000315	0.000317	0.000777	0	0	0.001014	0.127703	0.000635	0.005365	0	0	0.000125	0.001793	0	0.001209	0	0	0.012877	0	0	0	0	0	0	0	0	0	0	0	0.127703	0	0
92	0	0	0.093198	0.020307	0.001102	0.009479	0.003143	0	0	0	0.000273	0	0	0	0	0	0	0	0	0	0	0	0	0.005096	0	0	0	0.09594	0.076524	0	0	0	0.001287	0.164514	0	0	0	0	0	0.141765	0	0	0	0	0	0	0.205069	0	0.001682	0	0	0	0	0	0	0.001632	0	0.00501	0	0	0	0.030617	0	0.000811	0	0	0	0	0	0	0	0	0.001446	0	0	0	0	0	0.141105	0	0
93	0	0	0.095301	0.134936	0.000516	0.016754	0	0	0	0	0	0.010723	0	0	0	0	0	0	0	0	0	0	0	0.001464	0	0	0	0.067263	0.055146	0	0	0	0.001119	0.095376	0.001873	0	0	0	0	0.112338	0.000178	0	0	0	0	0	0.111812	0	0.002583	0	0	0	0	0	0	0.12849	0.000264	0.032899	0	0	0	0.018477	0	0	0.001139	0	0.000303	0	0	0.00179	0	0	0	0	0	0	0	0	0.109255	0	0
95	0	0	0.146802	0	0.001841	0.086453	0	0	0	0	0.000187	0.006157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075814	0.08991	0	0	0	0	0.083707	0.002213	0.004255	0	0	0	0.100754	0	0	0	0	0	0	0.169165	0	0	0	0	0	0	0	0	0.001403	0.001827	0	0	0	0	0.003899	0	0.039723	0	0.000677	0	0	0	0.001301	0	0	0	0	0	0	0.00324	0	0.180672	0	0
96	0	0	0.033633	0.052227	0.00286	0.012183	0	0	0.007196	0	9.27E-05	0.008772	0	0	0	0	0	0	0	0	0	0	0	0.000372	0	0	0	0.095904	0.019747	0	0	0.00018	0.000448	0.274462	0.000431	0	0	0	0	0.009569	0.000642	0	0	0	0	0	0.384728	0.000154	0.000475	0	0.000467	0	0	0	0	0.001843	0.000361	0.034314	0	0.003552	0.000105	0.007343	0	0.000816	0	0	0	0	0	0.001995	0	0	0	0	0	0	0	0	0.045127	0	0
97	0	0	0.021492	0.00526	0.000803	0.106956	0	0.004392	0	0	8.28E-05	0	0	0	0	0	0	0	0	0	0	0	0.000474	0.001377	0	0	0	0.141343	0.036408	0	0	0	7.57E-05	0.32452	0	0.000222	5.62E-05	0	0	0.008725	0.001222	0	0	0	0	0	0.301846	0	0.000466	0	0.000229	0	0	0	0.000111	0.002372	0.00011	0.000482	0	0	0	0.000225	0	0.006812	0	0	0	0	0	0.000359	0	0	0	0	0	0	0.001134	0	0.032447	0	0
98	0	0	0.068364	0.004496	0.001324	0.08379	0	0.002547	0	0.033483	6.43E-05	0.000162	0	0	2.58E-05	0	0.000352	0	0	0	0.100269	0	0	0.000187	0.010854	0	0	0.086188	0.073996	3.14E-05	1.34E-05	0	3.91E-05	0.200765	0	0.000426	0	2.05E-05	0	0.015768	0.001288	8.00E-05	0	0	6.34E-06	0	0.151702	0	0.000348	6.15E-05	0.00066	0.000433	0.000852	0	0	0.058525	0	0.000159	0	0	5.01E-05	0.00066	0	0.000738	0	0	0.007863	0	0	0.000435	2.59E-05	0	0	0	0	0	0.000104	0	0.092691	0	0.00015
99	0	0	0.084267	0.002821	0.00077	0.120964	0	0.001299	0	0	6.35E-05	0.002105	0	0	0	0	0	0	0	0	0	0	0	0.000566	0.000179	0	0	0.094035	0.071068	0	0	0	5.01E-05	0.202975	0.000233	0	0	0	0	0.026736	0.002214	0	0	0	0	0	0.275212	0	4.83E-05	0	0.001418	0	0	0	0	0.006454	0	0.000463	0	0	0	0.006101	0	0.001594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098336	2.91E-05	0
100	0	0	0.068424	0.038366	0.00706	0.068777	0.000419	0	0.000563	0	4.35E-05	0.001442	0	0	0	0	0	0	0	0	0	0	0	0	0.000181	0	0	0.141125	0.055153	0	2.70E-05	0	0	0.26586	8.49E-05	0	0	0	0.000553	0.010035	0.000564	0	0	0	0	0	0.221997	0.000101	0.001033	0	0	0.000377	0	0	0.012327	0.002759	0.000211	0.004624	0	0	0	0.006833	0	0.000144	0	0	0.001611	0	0	0.000904	0	0	0	0	0	0	0	0	0.088402	0	0
101	0	0	0.072741	0.073356	0.001739	0.080879	0	0	0	0	0.000479	0.055954	0	0	0	0	0	0	0	0	0	0	0	0.005777	0	0	0	0.110857	0.05748	0	0	0	0.003107	0.271712	0	0	0.000364	0	0	0.067186	0.00034	0	0	0	0	0	0.060409	0.000518	0.001911	0	0.00151	0	0	0	0	0.002843	0.000536	0.014092	0	0	0.0002	0.011343	0	0.000431	0.002439	0	0	0	0	0.001922	0	0	0	0	0	0	0	0	0.099876	0	0
102	0	0	0.138532	0.004674	0.000163	0.007618	0.000879	0	0	0	0.000157	0.003549	0	0	0	0	0	0.000764	0	0	0	0	0.003238	0	0.0005	0	0	0.087822	0.098889	0	0	0	0.001477	0.147252	0	0	0	0	0	0	0	0	0	0	0	0	0.282257	0	0.006874	0	0	0	0	0	0	0.001738	0.000383	0	0	0	0	0.032239	0	0	0	0.001077	0	0	0	0.000667	0	0	0	0	0	0	0	0	0.17925	0	0
